dam_nm,msmt_tm,rsvr_wal_hg,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt
주암(본),2024113024,107.1075,0,0,16.514,369.5589,80.9
주암(본),2024113023,107.1107,0,13.971,16.054,369.639,80.9
주암(본),2024113022,107.111,0,2.618,16.535,369.6465,80.9
주암(본),2024113021,107.113,0,2.293,16.876,369.6966,80.9
주암(본),2024113020,107.1151,0,20.348,16.876,369.7491,80.9
주암(본),2024113019,107.1146,0,0.193,16.887,369.7366,80.9
주암(본),2024113018,107.117,0,2.971,16.888,369.7967,80.9
주암(본),2024113017,107.119,0,23.746,16.774,369.8468,80.9
주암(본),2024113016,107.118,0,0,16.253,369.8217,80.9
주암(본),2024113015,107.1224,0,14.856,16.245,369.9319,81
주암(본),2024113014,107.1226,0,6.543,16.265,369.9369,81
주암(본),2024113013,107.124,0,16.257,16.257,369.9719,81
주암(본),2024113012,107.124,0,9.296,16.268,369.9719,81
주암(본),2024113011,107.125,0,16.29,16.29,369.997,81
주암(본),2024113010,107.125,0,9.33,16.274,369.997,81
주암(본),2024113009,107.126,0,7.217,16.273,370.022,81
주암(본),2024113008,107.1273,0,7.222,16.278,370.0546,81
주암(본),2024113007,107.1286,0,0,16.276,370.0872,81
주암(본),2024113006,107.133,0,10.728,16.284,370.1974,81
주암(본),2024113005,107.1338,0,24.473,16.112,370.2174,81
주암(본),2024113004,107.1326,0,2.345,16.289,370.1873,81
주암(본),2024113003,107.1346,1,6.231,15.953,370.2375,81
주암(본),2024113002,107.136,0,14.25,17.028,370.2725,81
주암(본),2024113001,107.1364,0,7.78,16.836,370.2825,81
주암(본),2024112924,107.1377,0,29.329,16.107,370.3151,81
주암(본),2024112923,107.1358,0,2.207,16.124,370.2675,81
주암(본),2024112922,107.1378,0,7.077,16.133,370.3176,81
주암(본),2024112921,107.1391,1,0,16.136,370.3502,81
주암(본),2024112920,107.1439,0,29.353,16.131,370.4705,81.1
주암(본),2024112919,107.142,0,19.816,16.344,370.4229,81.1
주암(본),2024112918,107.1415,0,0,16.97,370.4104,81.1
주암(본),2024112917,107.1486,0,11.394,16.977,370.5883,81.1
주암(본),2024112916,107.1494,0,24.294,16.627,370.6084,81.1
주암(본),2024112915,107.1483,0,0,16.352,370.5808,81.1
주암(본),2024112914,107.1509,0,39.329,16.357,370.646,81.1
주암(본),2024112913,107.1476,0,0,16.373,370.5633,81.1
주암(본),2024112912,107.1511,0,17.082,16.388,370.651,81.1
주암(본),2024112911,107.151,0,3.169,16.391,370.6485,81.1
주암(본),2024112910,107.1529,0,19.191,16.413,370.6961,81.1
주암(본),2024112909,107.1525,1,24.739,16.378,370.6861,81.1
